Date,DJI,Oil
1/9/1987,2596.280029,18.32
1/10/1987,1993.530029,18.63
1/11/1987,1833.550049,17.87
1/12/1987,1938.829956,16.77
1/1/1988,1958.219971,16.5
1/2/1988,2071.620117,15.9
1/3/1988,1988.060059,14.86
1/4/1988,2032.329956,16.42
1/5/1988,2031.119995,16.36
1/6/1988,2141.709961,15.49
1/7/1988,2128.72998,14.47
1/8/1988,2031.650024,14.57
1/9/1988,2112.909912,13.22
1/10/1988,2148.649902,12.23
1/11/1988,2114.51001,12.53
1/12/1988,2168.570068,14.68
1/1/1989,2342.320068,16.45
1/2/1989,2258.389893,16.52
1/3/1989,2293.620117,18.1
1/4/1989,2418.800049,19.39
1/5/1989,2480.149902,18.22
1/6/1989,2440.060059,17.8
1/7/1989,2660.659912,17.67
1/8/1989,2737.27002,16.87
1/9/1989,2692.820068,17.69
1/10/1989,2645.080078,18.41
1/11/1989,2706.27002,18.38
1/12/1989,2753.199951,19.37
1/1/1990,2590.540039,20.59
1/2/1990,2627.25,19.68
1/3/1990,2707.209961,18.12
1/4/1990,2656.76001,16.32
1/5/1990,2876.659912,16.21
1/6/1990,2880.689941,14.93
1/7/1990,2905.199951,16.81
1/8/1990,2614.360107,26.54
1/9/1990,2452.47998,33.62
1/10/1990,2442.330078,34.85
1/11/1990,2559.649902,31.54
1/12/1990,2633.659912,26.61
1/1/1991,2736.389893,22.81
1/2/1991,2882.179932,18.53
1/3/1991,2913.860107,18.21
1/4/1991,2887.870117,18.49
1/5/1991,3027.5,18.72
1/6/1991,2906.75,17.78
1/7/1991,3024.820068,19.02
1/8/1991,3043.600098,19.3
1/9/1991,3016.77002,19.95
1/10/1991,3069.100098,21.56
1/11/1991,2894.679932,20.41
1/12/1991,3168.830078,17.63
1/1/1992,3223.399902,17.52
1/2/1992,3267.699951,17.65
1/3/1992,3235.5,17.35
1/4/1992,3359.100098,18.65
1/5/1992,3396.899902,19.52
1/6/1992,3318.5,20.88
1/7/1992,3393.800049,20.18
1/8/1992,3257.399902,19.62
1/9/1992,3271.699951,20.19
1/10/1992,3226.300049,20.04
1/11/1992,3305.199951,18.9
1/12/1992,3301.110107,17.93
1/1/1993,3310,17.24
1/2/1993,3370.810059,18.23
1/3/1993,3435.110107,18.5
1/4/1993,3427.550049,18.44
1/5/1993,3527.429932,18.17
1/6/1993,3516.080078,17.37
1/7/1993,3539.469971,16.37
1/8/1993,3651.25,16.43
1/9/1993,3555.120117,15.8
1/10/1993,3680.590088,16.44
1/11/1993,3683.949951,15.09
1/12/1993,3754.090088,13.36
1/1/1994,3978.360107,14.17
1/2/1994,3832.02002,13.75
1/3/1994,3635.959961,13.69
1/4/1994,3681.689941,15.15
1/5/1994,3758.370117,16.43
1/6/1994,3624.959961,17.23
1/7/1994,3764.5,18.04
1/8/1994,3913.419922,16.98
1/9/1994,3843.189941,16.13
1/10/1994,3908.120117,16.48
1/11/1994,3739.22998,17.2
1/12/1994,3834.439941,16.13
1/1/1995,3843.860107,16.88
1/2/1995,4011.050049,17.44
1/3/1995,4157.689941,17.35
1/4/1995,4321.27002,18.77
1/5/1995,4465.140137,18.43
1/6/1995,4556.100098,17.33
1/7/1995,4708.470215,16.06
1/8/1995,4610.560059,16.49
1/9/1995,4789.080078,16.77
